Explainer,Model,Dataset,AB,score,score_bottom,score_top,kendall,random,noise,Skew,Samples,HC,ConfVars
ShapKernelKmeans,LogisticRegression,3_vars_corr_2HC_n700.csv,A,3.57733167727216,0.044039818773828954,-0.011576357915043767,1.0,0.8846338038830547,0.00010095917260088151,0.5,700.0,2.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_2HC_n700B.csv,B,3.127222267688232,0.0924583702558375,0.0776794115801088,0.3333333333333334,0.8516528498564527,0.0013610481817514723,0.5,700.0,2.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_2HC_n900.csv,A,3.553041704781694,0.012593814797737357,0.02465901381437625,1.0,0.9110166878564232,0.0006888920290254091,0.5,900.0,2.0,3.0
ShapKernelKmeans,LogisticRegression,3_vars_corr_2HC_n900B.csv,B,2.905944814022102,0.1222645214977034,0.08710529109531964,0.3333333333333334,0.8005951579592457,8.43474600416911e-05,0.5,900.0,2.0,3.0
ShapKernelKmeans,RandomForest,0_vars_corr_0HC_n100.csv,A,2.756246758570369,0.13887273055047697,0.11413278362689945,0.0,0.7825624412510422,0.02085987996306566,0.5,100.0,0.0,0.0
ShapKernelKmeans,RandomForest,0_vars_corr_0HC_n1000.csv,A,2.6854486326877587,0.08445495925744574,0.06384456869564341,0.3333333333333334,0.7180310852002565,0.0,0.5,1000.0,0.0,0.0
ShapKernelKmeans,RandomForest,0_vars_corr_0HC_n200.csv,A,2.802511226400673,0.08679741246260043,0.059514182784434544,0.3333333333333334,0.7482245036163166,0.001179003773373172,0.5,200.0,0.0,0.0
ShapKernelKmeans,RandomForest,0_vars_corr_0HC_n300.csv,A,2.8400337837837837,0.08190092185412697,0.06133812496358247,0.0,0.7583462819519873,0.0,0.5,300.0,0.0,0.0
ShapKernelKmeans,RandomForest,0_vars_corr_0HC_n400.csv,A,3.005279662570307,0.06149835141033141,0.08603392571450358,0.3333333333333334,0.8231484013981933,0.00019930161413678543,0.5,400.0,0.0,0.0
ShapKernelKmeans,RandomForest,0_vars_corr_0HC_n500.csv,A,2.9492872369261547,0.04007563580722197,0.06983484130227016,0.3333333333333334,0.7952964204859955,0.0,0.5,500.0,0.0,0.0
